name ,Hrs of samples ,CO2_ppm
Control_A,20:52:00,3451
Control_B,20:52:00,3482
Control_C,20:52:00,2541
Control_D,20:52:00,280
pH 6_A,20:52:00,2056
pH 6_B,20:52:00,2587
pH 6_C,20:52:00,2723
pH 6_D,20:52:00,435
pH 7.4_A,20:52:00,958
pH 7.4_B,20:52:00,1121
pH 7.4_C,20:52:00,1323
pH 7.4_D,20:52:00,306
15C_A,20:52:00,1651
15C_B,20:52:00,1753
15C_C,20:52:00,1709
15C_D,20:52:00,525
30C_A,20:52:00,42881
30C_B,20:52:00,40895
30C_C,20:52:00,41148
30C_D,20:52:00,291
High Iron_A,20:52:00,1728
High Iron_B,20:52:00,1379
High Iron_C,20:52:00,1425
High Iron_D,20:52:00,333
Stagnant_A,20:52:00,627
Stagnant_B,20:52:00,835
Stagnant_C,20:52:00,667
Stagnant_D,20:52:00,282
No Vit.Min._A,20:52:00,1033
No Vit.Min._B,20:52:00,1791
No Vit.Min._C,20:52:00,1840
No Vit.Min._D,20:52:00,328
Control_A,47:15:00,338
Control_B,47:15:00,35395
Control_C,47:15:00,40119
Control_D,47:15:00,43339
pH 6_A,47:15:00,50145
pH 6_B,47:15:00,47481
pH 6_C,47:15:00,51566
pH 6_D,47:15:00,6011
pH 7.4_A,47:15:00,34344
pH 7.4_B,47:15:00,32681
pH 7.4_C,47:15:00,34504
pH 7.4_D,47:15:00,552
15C_A,47:15:00,7437
15C_B,47:15:00,8879
15C_C,47:15:00,7238
15C_D,47:15:00,765
30C_A,47:15:00,467812
30C_B,47:15:00,43558
30C_C,47:15:00,47075
30C_D,47:15:00,395
High Iron_A,47:15:00,32636
High Iron_B,47:15:00,36241
High Iron_C,47:15:00,39381
High Iron_D,47:15:00,617
Stagnant_A,47:15:00,2488
Stagnant_B,47:15:00,2245
Stagnant_C,47:15:00,2453
Stagnant_D,47:15:00,392
No Vit.Min._A,47:15:00,268905
No Vit.Min._B,47:15:00,18650
No Vit.Min._C,47:15:00,22548
