Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count
1,Specimen1,1,A1,Control_A,11/2/22 19:14,1028
1,Specimen1,1,A2,pH 6_A,11/2/22 19:17,1246
1,Specimen1,1,A3,pH 7.4_A,11/2/22 19:19,1294
1,Specimen1,1,A4,15C_A,11/2/22 19:21,1000
1,Specimen1,1,A5,30C_A,11/2/22 19:24,1254
1,Specimen1,1,A6,High Iron_A,11/2/22 19:26,1534
1,Specimen1,1,A7,Stagnant_A,11/2/22 19:29,1316
1,Specimen1,1,A8,No Vit.Min._A,11/2/22 19:31,1153
1,Specimen1,1,B1,Control_B,11/2/22 19:34,1079
1,Specimen1,1,B2,pH 6_B,11/2/22 19:36,1092
1,Specimen1,1,B3,pH 7.4_B,11/2/22 19:38,1202
1,Specimen1,1,B4,15C_B,11/2/22 19:41,1132
1,Specimen1,1,B5,30C_B,11/2/22 19:43,987
1,Specimen1,1,B6,High Iron_B,11/2/22 19:46,2402
1,Specimen1,1,B7,Stagnant_B,11/2/22 19:48,1181
1,Specimen1,1,B8,No Vit.Min._B,11/2/22 19:50,950
1,Specimen1,1,C1,Control_C,11/2/22 19:53,1208
1,Specimen1,1,C2,pH 6_C,11/2/22 19:55,1047
1,Specimen1,1,C3,pH 7.4_C,11/2/22 19:58,1120
1,Specimen1,1,C4,15C_C,11/2/22 20:00,1319
1,Specimen1,1,C5,30C_C,11/2/22 20:02,1049
1,Specimen1,1,C6,High Iron_C,11/2/22 20:05,2418
1,Specimen1,1,C7,Stagnant_C,11/2/22 20:07,1110
1,Specimen1,1,C8,No Vit.Min._C,11/2/22 20:10,1173
1,Specimen1,1,D1,Control_D,11/2/22 20:12,472
1,Specimen1,1,D2,pH 6_D,11/2/22 20:14,541
1,Specimen1,1,D3,pH 7.4_D,11/2/22 20:17,466
1,Specimen1,1,D4,15C_D,11/2/22 20:19,371
1,Specimen1,1,D5,30C_D,11/2/22 20:22,386
1,Specimen1,1,D6,High Iron_D,11/2/22 20:24,657
1,Specimen1,1,D7,Stagnant_D,11/2/22 20:26,543
1,Specimen1,1,D8,No Vit.Min._D,11/2/22 20:29,382
2,Specimen2,2,A1,Control_A,11/3/22 17:37,787
2,Specimen2,2,A2,pH 6_A,11/3/22 17:39,240
2,Specimen2,2,A3,pH 7.4_A,11/3/22 17:42,863
2,Specimen2,2,A4,15C_A,11/3/22 17:44,724
2,Specimen2,2,A5,30C_A,11/3/22 17:46,1647
2,Specimen2,2,A6,High Iron_A,11/3/22 17:49,1216
2,Specimen2,2,A7,Stagnant_A,11/3/22 17:51,481
2,Specimen2,2,B1,No Vit.Min._A,11/3/22 17:54,963
2,Specimen2,2,B2,Control_B,11/3/22 17:56,187
2,Specimen2,2,B3,pH 6_B,11/3/22 17:59,956
2,Specimen2,2,B4,pH 7.4_B,11/3/22 18:01,929
2,Specimen2,2,B5,15C_B,11/3/22 18:03,1103
2,Specimen2,2,B6,30C_B,11/3/22 18:05,1202
2,Specimen2,2,B7,High Iron_B,11/3/22 18:08,561
