Specimen ID,Specimen,Plate ID,Well ID,Sample, Time,All Abs. Count
1,Specimen1,1,A1,Control_A,10/6/2022__5:30:00 PM,2031
1,Specimen1,1,A2,pH6_A,10/6/2022__5:30:00 PM,2014
1,Specimen1,1,A3,pH7.4_A,10/6/2022__5:30:00 PM,1924
1,Specimen1,1,A4,15C_A,10/6/2022__5:30:00 PM,2394
1,Specimen1,1,A5,30C_A,10/6/2022__5:30:00 PM,1884
1,Specimen1,1,A6,High Iron_A,10/6/2022__5:30:00 PM,3631
1,Specimen1,1,A7,Stagnant_A,10/6/2022__5:30:00 PM,1578
1,Specimen1,1,A8,No vit.min_A,10/6/2022__5:30:00 PM,1360
1,Specimen1,1,B1,Control_B,10/6/2022__5:30:00 PM,2089
1,Specimen1,1,B2,pH6_B,10/6/2022__5:30:00 PM,1698
1,Specimen1,1,B3,pH7.4_B,10/6/2022__5:30:00 PM,1794
1,Specimen1,1,B4,15C_B,10/6/2022__5:30:00 PM,2224
1,Specimen1,1,B5,30C_B,10/6/2022__5:30:00 PM,1768
1,Specimen1,1,B6,High Iron_B,10/6/2022__5:30:00 PM,3404
1,Specimen1,1,B7,Stagnant_B,10/6/2022__5:30:00 PM,1204
1,Specimen1,1,B8,No vit.min_B,10/6/2022__5:30:00 PM,1243
1,Specimen1,1,C1,Control_C,10/6/2022__5:30:00 PM,1570
1,Specimen1,1,C2,pH6_C,10/6/2022__5:30:00 PM,1351
1,Specimen1,1,C3,pH7.4_C,10/6/2022__5:30:00 PM,1534
1,Specimen1,1,C4,15C_C,10/6/2022__5:30:00 PM,1581
1,Specimen1,1,C5,30C_C,10/6/2022__5:30:00 PM,2195
1,Specimen1,1,C6,High Iron_C,10/6/2022__5:30:00 PM,4417
1,Specimen1,1,C7,Stagnant_C,10/6/2022__5:30:00 PM,1096
1,Specimen1,1,C8,No vit.min_C,10/6/2022__5:30:00 PM,1060
1,Specimen1,1,D1,Control_C(1),10/6/2022__5:30:00 PM,92.4
1,Specimen1,1,D2,pH6_C(1),10/6/2022__5:30:00 PM,77.2
1,Specimen1,1,D3,pH7.4_C(1),10/6/2022__5:30:00 PM,81.6
1,Specimen1,1,D4,15C_C(1),10/6/2022__5:30:00 PM,55
1,Specimen1,1,D5,30C_C(1),10/6/2022__5:30:00 PM,89.1
1,Specimen1,1,D6,High Iron_C(1),10/6/2022__5:30:00 PM,40.9
1,Specimen1,1,D7,Stagnant_C(1),10/6/2022__5:30:00 PM,55.7
1,Specimen1,1,D8,No vit.min_C(1),10/6/2022__5:30:00 PM,42.9
2,Specimen2,2,A1,Control_A,10/7/2022__4:04:00 PM,3467
2,Specimen2,2,A2,pH6_A,10/7/2022__4:04:00 PM,2690
2,Specimen2,2,A3,pH7.4_A,10/7/2022__4:04:00 PM,4200
2,Specimen2,2,A4,15C_A,10/7/2022__4:04:00 PM,11464
2,Specimen2,2,A5,30C_A,10/7/2022__4:04:00 PM,29852
2,Specimen2,2,A6,High Iron_A,10/7/2022__4:04:00 PM,5182
2,Specimen2,2,A7,Stagnant_A,10/7/2022__4:04:00 PM,1905
2,Specimen2,2,A8,No vit.min_A,10/7/2022__4:04:00 PM,2458
2,Specimen2,2,B1,Control_B,10/7/2022__4:04:00 PM,3581
2,Specimen2,2,B2,pH6_B,10/7/2022__4:04:00 PM,2650
2,Specimen2,2,B3,pH7.4_B,10/7/2022__4:04:00 PM,5648
2,Specimen2,2,B4,15C_B,10/7/2022__4:04:00 PM,11670
2,Specimen2,2,B5,30C_B,10/7/2022__4:04:00 PM,33606
2,Specimen2,2,B6,High Iron_B,10/7/2022__4:04:00 PM,8777
2,Specimen2,2,B7,Stagnant_B,10/7/2022__4:04:00 PM,1696
2,Specimen2,2,B8,No vit.min_B,10/7/2022__4:04:00 PM,2111
2,Specimen2,2,C1,Control_C,10/7/2022__4:04:00 PM,4099
2,Specimen2,2,C2,pH6_C,10/7/2022__4:04:00 PM,3851
2,Specimen2,2,C3,pH7.4_C,10/7/2022__4:04:00 PM,3235
2,Specimen2,2,C4,15C_C,10/7/2022__4:04:00 PM,10672
2,Specimen2,2,C5,30C_C,10/7/2022__4:04:00 PM,31665
2,Specimen2,2,C6,High Iron_C,10/7/2022__4:04:00 PM,6598
2,Specimen2,2,C7,Stagnant_C,10/7/2022__4:04:00 PM,1998
2,Specimen2,2,C8,No vit.min_C,10/7/2022__4:04:00 PM,2359
2,Specimen2,2,D1,Control_C(1),10/7/2022__4:04:00 PM,37
2,Specimen2,2,D2,pH6_C(1),10/7/2022__4:04:00 PM,44.9
2,Specimen2,2,D3,pH7.4_C(1),10/7/2022__4:04:00 PM,35.6
2,Specimen2,2,D4,15C_C(1),10/7/2022__4:04:00 PM,33.2
2,Specimen2,2,D5,30C_C(1),10/7/2022__4:04:00 PM,19.1
2,Specimen2,2,D6,High Iron_C(1),10/7/2022__4:04:00 PM,1267
2,Specimen2,2,D7,Stagnant_C(1),10/7/2022__4:04:00 PM,35.4
2,Specimen2,2,D8,No vit.min_C(1),10/7/2022__4:04:00 PM,26.6
3,Specimen3,3,A1,Control_A,10/8/2022__3:31:00 PM,26599
3,Specimen3,3,A2,pH6_A,10/8/2022__3:31:00 PM,24309
3,Specimen3,3,A3,pH7.4_A,10/8/2022__3:31:00 PM,22662
3,Specimen3,3,A4,15C_A,10/8/2022__3:31:00 PM,26905
3,Specimen3,3,A5,30C_A,10/8/2022__3:31:00 PM,27742
3,Specimen3,3,A6,High Iron_A,10/8/2022__3:31:00 PM,26103
3,Specimen3,3,A7,Stagnant_A,10/8/2022__3:31:00 PM,4345
3,Specimen3,3,A8,No vit.min_A,10/8/2022__3:31:00 PM,18824
3,Specimen3,3,B1,Control_B,10/8/2022__3:31:00 PM,28206
3,Specimen3,3,B2,pH6_B,10/8/2022__3:31:00 PM,25008
3,Specimen3,3,B3,pH7.4_B,10/8/2022__3:31:00 PM,20878
3,Specimen3,3,B4,15C_B,10/8/2022__3:31:00 PM,28389
