"","x"
"1",68
"2",254
"3",44
"4",85
"5",239
"6",132
"7",207
"8",90
"9",2
"10",40
"11",69
"12",165
"13",159
"14",74
"15",134
"16",150
"17",170
"18",256
"19",249
"20",22
"21",9
"22",65
"23",93
"24",135
"25",157
"26",125
"27",87
"28",158
"29",71
"30",127
"31",224
"32",172
"33",206
"34",216
"35",111
"36",42
"37",143
"38",64
"39",148
"40",15
"41",240
"42",95
"43",11
"44",242
"45",30
"46",117
"47",5
"48",229
"49",79
"50",99
"51",82
"52",55
"53",31
"54",84
"55",137
"56",25
"57",202
"58",130
"59",97
"60",201
"61",23
"62",144
"63",211
"64",54
"65",222
"66",98
"67",228
"68",27
"69",86
"70",238
"71",120
"72",192
"73",188
"74",45
"75",32
"76",236
"77",215
"78",213
"79",56
"80",26
"81",212
"82",189
"83",140
"84",105
"85",80
"86",49
"87",19
"88",162
"89",77
"90",123
"91",106
"92",220
"93",46
"94",72
"95",164
"96",171
"97",252
"98",115
"99",21
"100",113
"101",210
"102",60
"103",124
"104",8
"105",176
"106",133
"107",235
"108",118
"109",16
"110",57
"111",226
"112",181
"113",1
"114",191
"115",129
"116",190
"117",18
"118",102
"119",182
"120",47
"121",51
"122",161
"123",61
"124",38
"125",204
"126",36
"127",177
"128",196
"129",37
"130",178
"131",81
"132",250
"133",17
"134",50
"135",185
"136",146
"137",112
"138",103
"139",59
"140",41
"141",187
"142",200
"143",92
"144",179
"145",169
"146",10
"147",151
"148",232
"149",173
"150",39
"151",255
"152",145
"153",116
"154",205
"155",104
"156",147
"157",214
"158",149
"159",96
"160",114
"161",89
"162",33
"163",63
"164",246
"165",48
"166",199
"167",243
"168",138
"169",35
"170",136
"171",119
"172",195
"173",163
"174",208
"175",180
"176",217
"177",160
"178",194
"179",75
"180",247
"181",78
"182",218
"183",234
"184",67
"185",109
"186",76
"187",154
"188",227
"189",233
"190",186
"191",241
"192",225
"193",43
"194",203
"195",12
"196",66
"197",128
"198",253
"199",142
"200",141
"201",126
"202",3
"203",219
"204",121
"205",29
"206",28
"207",122
"208",166
"209",34
"210",24
"211",156
"212",108
"213",14
"214",209
"215",58
"216",53
"217",168
"218",230
"219",83
"220",110
"221",73
"222",237
"223",91
"224",198
"225",100
"226",88
"227",94
"228",152
"229",52
"230",183
"231",70
"232",221
"233",6
"234",193
"235",131
"236",62
"237",244
"238",155
"239",153
"240",107
"241",4
"242",167
"243",175
"244",245
"245",139
"246",197
"247",7
"248",13
"249",20
"250",251
"251",248
"252",174
"253",184
"254",231
"255",101
"256",223
