Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,skip
1,Specimen1,1,A1,Control_A,7/11/23 16:24,766,
1,Specimen1,1,A2,pH 6_A,7/11/23 16:26,947,
1,Specimen1,1,A3,pH 7.4_A,7/11/23 16:28,833,
1,Specimen1,1,A4,15C_A,7/11/23 16:31,759,
1,Specimen1,1,A5,30C_A,7/11/23 16:33,759,
1,Specimen1,1,A6,High Iron_A,7/11/23 16:36,771,
1,Specimen1,1,A7,Stagnant_A,7/11/23 16:38,834,
1,Specimen1,1,A8,No Vit.Min._A,7/11/23 16:40,824,
1,Specimen1,1,B1,Control_B,7/11/23 16:43,607,
1,Specimen1,1,B2,pH 6_B,7/11/23 16:45,681,
1,Specimen1,1,B3,pH 7.4_B,7/11/23 16:47,880,
1,Specimen1,1,B4,15C_B,7/11/23 16:50,526,
1,Specimen1,1,B5,30C_B,7/11/23 16:52,691,
1,Specimen1,1,B6,High Iron_B,7/11/23 16:55,680,
1,Specimen1,1,B7,Stagnant_B,7/11/23 16:57,638,
1,Specimen1,1,B8,No Vit.Min._B,7/11/23 17:00,779,
1,Specimen1,1,C1,Control_C,7/11/23 17:02,483,
1,Specimen1,1,C2,pH 6_C,7/11/23 17:05,310,
1,Specimen1,1,C3,pH 7.4_C,7/11/23 17:07,686,
1,Specimen1,1,C4,15C_C,7/11/23 17:09,660,
1,Specimen1,1,C5,30C_C,7/11/23 17:12,635,
1,Specimen1,1,C6,High Iron_C,7/11/23 17:14,548,
1,Specimen1,1,C7,Stagnant_C,7/11/23 17:17,594,
1,Specimen1,1,C8,No Vit.Min._C,7/11/23 17:19,587,
1,Specimen1,1,D1,Control_D,7/11/23 17:21,67.3,
1,Specimen1,1,D2,pH 6_D,7/11/23 17:24,64.2,
1,Specimen1,1,D3,pH 7.4_D,7/11/23 17:26,62.9,
1,Specimen1,1,D4,15C_D,7/11/23 17:29,59.6,
1,Specimen1,1,D5,30C_D,7/11/23 17:31,53.5,
1,Specimen1,1,D6,High Iron_D,7/11/23 17:34,76.1,
1,Specimen1,1,D7,Stagnant_D,7/11/23 17:36,72.6,
1,Specimen1,1,D8,No Vit.Min._D,7/11/23 17:38,62.3,
2,Specimen2,2,A1,Control_A,7/12/23 19:46,630,
2,Specimen2,2,A2,pH 6_A,7/12/23 19:49,333,
2,Specimen2,2,A3,pH 7.4_A,7/12/23 19:51,412,
2,Specimen2,2,A4,15C_A,7/12/23 19:53,416,
2,Specimen2,2,A5,30C_A,7/12/23 19:56,1120,
2,Specimen2,2,A6,High Iron_A,7/12/23 19:58,809,
2,Specimen2,2,A7,Stagnant_A,7/12/23 20:01,372,
2,Specimen2,2,A8,No Vit.Min._A,7/12/23 20:03,618,
2,Specimen2,2,B1,Control_B,7/12/23 20:06,702,
2,Specimen2,2,B2,pH 6_B,7/12/23 20:08,219,
2,Specimen2,2,B3,pH 7.4_B,7/12/23 20:10,462,
2,Specimen2,2,B4,15C_B,7/12/23 20:13,600,
2,Specimen2,2,B5,30C_B,7/12/23 20:15,1132,
2,Specimen2,2,B6,High Iron_B,7/12/23 20:17,959,
2,Specimen2,2,B7,Stagnant_B,7/12/23 20:20,357,
2,Specimen2,2,B8,No Vit.Min._B,7/12/23 20:22,606,
2,Specimen2,2,C1,Control_C,7/12/23 20:25,781,
2,Specimen2,2,C2,pH 6_C,7/12/23 20:27,269,
2,Specimen2,2,C3,pH 7.4_C,7/12/23 20:29,325,
2,Specimen2,2,C4,15C_C,7/12/23 20:32,347,
2,Specimen2,2,C5,30C_C,7/12/23 20:34,1156,
2,Specimen2,2,C6,High Iron_C,7/12/23 20:36,957,
2,Specimen2,2,C7,Stagnant_C,7/12/23 20:39,341,
2,Specimen2,2,C8,No Vit.Min._C,7/12/23 20:41,556,
2,Specimen2,2,D1,Control_D,7/12/23 20:44,26,
2,Specimen2,2,D2,pH 6_D,7/12/23 20:46,35.6,
2,Specimen2,2,D3,pH 7.4_D,7/12/23 20:48,33,
2,Specimen2,2,D4,15C_D,7/12/23 20:51,23.3,
2,Specimen2,2,D5,30C_D,7/12/23 20:53,40.9,
2,Specimen2,2,D6,High Iron_D,7/12/23 20:56,27.7,
2,Specimen2,2,D7,Stagnant_D,7/12/23 20:58,56.3,
2,Specimen2,2,D8,No Vit.Min._D,7/12/23 21:00,26,
3,Specimen3,3,A1,Control_A,7/13/23 16:24,708,
3,Specimen3,3,A2,pH 6_A,7/13/23 16:26,348,
3,Specimen3,3,A3,pH 7.4_A,7/13/23 16:29,596,
3,Specimen3,3,A4,15C_A,7/13/23 16:31,481,
3,Specimen3,3,A5,30C_A,7/13/23 16:33,1159,
3,Specimen3,3,A6,High Iron_A,7/13/23 16:36,797,
3,Specimen3,3,A7,Stagnant_A,7/13/23 16:38,389,
3,Specimen3,3,A8,No Vit.Min._A,7/13/23 16:41,836,
3,Specimen3,3,B1,Control_B,7/13/23 16:43,725,
3,Specimen3,3,B2,pH 6_B,7/13/23 16:45,347,
3,Specimen3,3,B3,pH 7.4_B,7/13/23 16:48,614,
3,Specimen3,3,B4,15C_B,7/13/23 16:50,621,
3,Specimen3,3,B5,30C_B,7/13/23 16:53,1210,
3,Specimen3,3,B6,High Iron_B,7/13/23 16:55,860,
3,Specimen3,3,B7,Stagnant_B,7/13/23 16:57,433,
3,Specimen3,3,B8,No Vit.Min._B,7/13/23 17:00,874,
3,Specimen3,3,C1,Control_C,7/13/23 17:02,843,
3,Specimen3,3,C2,pH 6_C,7/13/23 17:04,315,
3,Specimen3,3,C3,pH 7.4_C,7/13/23 17:07,554,
3,Specimen3,3,C4,15C_C,7/13/23 17:09,644,
3,Specimen3,3,C5,30C_C,7/13/23 17:11,1307,
3,Specimen3,3,C6,High Iron_C,7/13/23 17:14,982,
3,Specimen3,3,C7,Stagnant_C,7/13/23 17:16,493,
3,Specimen3,3,C8,No Vit.Min._C,7/13/23 17:19,883,
3,Specimen3,3,D1,Control_D,7/13/23 17:21,92,
3,Specimen3,3,D2,pH 6_D,7/13/23 17:23,89.3,
3,Specimen3,3,D3,pH 7.4_D,7/13/23 17:26,98.8,
3,Specimen3,3,D4,15C_D,7/13/23 17:28,97.9,
3,Specimen3,3,D5,30C_D,7/13/23 17:31,80.3,
3,Specimen3,3,D6,High Iron_D,7/13/23 17:33,93.9,
3,Specimen3,3,D7,Stagnant_D,7/13/23 17:36,126,
3,Specimen3,3,D8,No Vit.Min._D,7/13/23 17:38,86,
4,Specimen4,4,A1,Control_A,7/14/23 16:38,847,
4,Specimen4,4,A2,pH 6_A,7/14/23 16:40,663,
4,Specimen4,4,A3,pH 7.4_A,7/14/23 16:43,829,
4,Specimen4,4,A4,15C_A,7/14/23 16:45,741,
4,Specimen4,4,A5,30C_A,7/14/23 16:47,1559,
4,Specimen4,4,A6,High Iron_A,7/14/23 16:50,1006,
4,Specimen4,4,A7,Stagnant_A,7/14/23 16:52,425,
4,Specimen4,4,A8,No Vit.Min._A,7/14/23 16:55,968,
4,Specimen4,4,B1,Control_B,7/14/23 16:57,868,
4,Specimen4,4,B2,pH 6_B,7/14/23 16:59,552,
4,Specimen4,4,B3,pH 7.4_B,7/14/23 17:02,825,
4,Specimen4,4,B4,15C_B,7/14/23 17:04,684,
4,Specimen4,4,B5,30C_B,7/14/23 17:07,1844,
4,Specimen4,4,B6,High Iron_B,7/14/23 17:09,1055,
4,Specimen4,4,B7,Stagnant_B,7/14/23 17:12,511,
4,Specimen4,4,B8,No Vit.Min._B,7/14/23 17:14,970,
4,Specimen4,4,C1,Control_C,7/14/23 17:17,849,
4,Specimen4,4,C2,pH 6_C,7/14/23 17:19,500,
4,Specimen4,4,C3,pH 7.4_C,7/14/23 17:21,699,
4,Specimen4,4,C4,15C_C,7/14/23 17:24,932,
4,Specimen4,4,C5,30C_C,7/14/23 17:26,1822,
4,Specimen4,4,C6,High Iron_C,7/14/23 17:29,1012,
