name ,Hrs of samples ,CO2_ppm
Control_A,21:15:00,1751
Control_B,21:15:00,2305
Control_C,21:15:00,3469
Control_D,21:15:00,527
pH 6_A,21:15:00,4683
pH 6_B,21:15:00,3635
pH 6_C,21:15:00,3960
pH 6_D,21:15:00,471
pH 7.4_A,21:15:00,866
pH 7.4_B,21:15:00,1344
pH 7.4_C,21:15:00,1156
pH 7.4_D,21:15:00,352
15C_A,21:15:00,921
15C_B,21:15:00,1342
15C_C,21:15:00,1196
15C_D,21:15:00,477
30C_A,21:15:00,3326
30C_B,21:15:00,2469
30C_C,21:15:00,1709
30C_D,21:15:00,517
High Iron_A,21:15:00,1420
High Iron_B,21:15:00,1816
High Iron_C,21:15:00,1743
High Iron_D,21:15:00,427
Stagnant_A,21:15:00,915
Stagnant_B,21:15:00,877
Stagnant_C,21:15:00,923
Stagnant_D,21:15:00,397
No Vit.Min._A,21:15:00,1904
No Vit.Min._B,21:15:00,1894
No Vit.Min._C,21:15:00,1766
No Vit.Min._D,21:15:00,378
Control_A,46:33:00,2463
Control_B,46:33:00,2922
Control_C,46:33:00,5836
Control_D,46:33:00,514
pH 6_A,46:33:00,5510
pH 6_B,46:33:00,5968
pH 6_C,46:33:00,5513
pH 6_D,46:33:00,541
pH 7.4_A,46:33:00,1220
pH 7.4_B,46:33:00,1843
pH 7.4_C,46:33:00,1832
pH 7.4_D,46:33:00,370
15C_A,46:33:00,1614
15C_B,46:33:00,2041
15C_C,46:33:00,1687
15C_D,46:33:00,463
30C_A,46:33:00,5103
30C_B,46:33:00,3046
30C_C,46:33:00,2190
30C_D,46:33:00,571
High Iron_A,46:33:00,1840
High Iron_B,46:33:00,2810
High Iron_C,46:33:00,2460
High Iron_D,46:33:00,434
Stagnant_A,46:33:00,1494
Stagnant_B,46:33:00,1300
Stagnant_C,46:33:00,1288
Stagnant_D,46:33:00,431
No Vit.Min._A,46:33:00,2772
No Vit.Min._B,46:33:00,2809
No Vit.Min._C,46:33:00,2181
No Vit.Min._D,46:33:00,398
Control_A,68:03:00,3486
Control_B,68:03:00,2863
Control_C,68:03:00,6116
Control_D,68:03:00,463
pH 6_A,68:03:00,5959
pH 6_B,68:03:00,6888
pH 6_C,68:03:00,6435
pH 6_D,68:03:00,469
pH 7.4_A,68:03:00,1387
pH 7.4_B,68:03:00,1922
pH 7.4_C,68:03:00,1880
pH 7.4_D,68:03:00,365
15C_A,68:03:00,2114
15C_B,68:03:00,2477
15C_C,68:03:00,2123
15C_D,68:03:00,509
30C_A,68:03:00,4309
30C_B,68:03:00,3658
30C_C,68:03:00,2532
30C_D,68:03:00,698
High Iron_A,68:03:00,2133
High Iron_B,68:03:00,3255
High Iron_C,68:03:00,2750
High Iron_D,68:03:00,610
Stagnant_A,68:03:00,1527
Stagnant_B,68:03:00,1765
Stagnant_C,68:03:00,1375
Stagnant_D,68:03:00,410
No Vit.Min._A,68:03:00,3155
No Vit.Min._B,68:03:00,3317
No Vit.Min._C,68:03:00,2286
No Vit.Min._D,68:03:00,370
Control_A,94:27:00,2832
Control_B,94:27:00,2506
Control_C,94:27:00,7350
Control_D,94:27:00,692
pH 6_A,94:27:00,5081
pH 6_B,94:27:00,5914
pH 6_C,94:27:00,6144
pH 6_D,94:27:00,470
pH 7.4_A,94:27:00,1389
pH 7.4_B,94:27:00,1832
pH 7.4_C,94:27:00,2009
pH 7.4_D,94:27:00,415
15C_A,94:27:00,1764
15C_B,94:27:00,2355
15C_C,94:27:00,1907
15C_D,94:27:00,504
30C_A,94:27:00,4988
30C_B,94:27:00,2964
30C_C,94:27:00,2048
30C_D,94:27:00,1250
