name ,Hrs of samples ,CO2_ppm,skip
Control_A,45:15:00,32960,
Control_B,45:15:00,33476,
Control_C,45:15:00,33980,
Control_D,45:15:00,362,
pH 6_A,45:15:00,48271,
pH 6_B,45:15:00,50239,
pH 6_C,45:15:00,51110,
pH 6_D,45:15:00,609,
pH 7.4_A,45:15:00,25521,
pH 7.4_B,45:15:00,24450,
pH 7.4_C,45:15:00,26891,
pH 7.4_D,45:15:00,550,
15C_A,45:15:00,44928,
15C_B,45:15:00,38152,
15C_C,45:15:00,43605,
15C_D,45:15:00,777,
30C_A,45:15:00,44998,
30C_B,45:15:00,45603,
30C_C,45:15:00,41484,
30C_D,45:15:00,609,
High Iron_A,45:15:00,36230,
High Iron_B,45:15:00,36992,
High Iron_C,45:15:00,35976,
High Iron_D,45:15:00,729,
Stagnant_A,45:15:00,5811,
Stagnant_B,45:15:00,5987,
Stagnant_C,45:15:00,5359,
Stagnant_D,45:15:00,570,
No Vit.Min._A,45:15:00,34854,
No Vit.Min._B,45:15:00,37581,
No Vit.Min._C,45:15:00,35709,
No Vit.Min._D,45:15:00,557,
Control_A,68:15:15,48374,
Control_B,68:15:15,43972,
Control_C,68:15:15,42769,
Control_D,68:15:15,395,
pH 6_A,68:15:15,53787,
pH 6_B,68:15:15,54295,
pH 6_C,68:15:15,53558,
pH 6_D,68:15:15,743,
pH 7.4_A,68:15:15,36010,
pH 7.4_B,68:15:15,33786,
pH 7.4_C,68:15:15,36788,
pH 7.4_D,68:15:15,676,
15C_A,68:15:15,46468,
15C_B,68:15:15,44906,
15C_C,68:15:15,49143,
15C_D,68:15:15,612,
30C_A,68:15:15,51683,
30C_B,68:15:15,51780,
30C_C,68:15:15,48672,
30C_D,68:15:15,443,
High Iron_A,68:15:15,43639,
High Iron_B,68:15:15,45101,
High Iron_C,68:15:15,44877,
High Iron_D,68:15:15,664,
Stagnant_A,68:15:15,19731,
Stagnant_B,68:15:15,17831,
Stagnant_C,68:15:15,17077,
Stagnant_D,68:15:15,614,
No Vit.Min._A,68:15:15,45689,
No Vit.Min._B,68:15:15,43527,
No Vit.Min._C,68:15:15,44470,
No Vit.Min._D,68:15:15,673,
Control_A,94:40:00,63489,
Control_B,94:40:00,62230,
Control_C,94:40:00,58359,
Control_D,94:40:00,368,
pH 6_A,94:40:00,68554,
pH 6_B,94:40:00,67448,
pH 6_C,94:40:00,66805,
pH 6_D,94:40:00,1478,
pH 7.4_A,94:40:00,58233,
pH 7.4_B,94:40:00,58539,
pH 7.4_C,94:40:00,59042,
pH 7.4_D,94:40:00,1123,
15C_A,94:40:00,60104,
15C_B,94:40:00,59196,
15C_C,94:40:00,61257,
15C_D,94:40:00,1303,
30C_A,94:40:00,55520,
30C_B,94:40:00,61448,
30C_C,94:40:00,61797,
30C_D,94:40:00,593,
High Iron_A,94:40:00,61214,
High Iron_B,94:40:00,64142,
High Iron_C,94:40:00,57937,
High Iron_D,94:40:00,737,
Stagnant_A,94:40:00,32777,
Stagnant_B,94:40:00,31240,
Stagnant_C,94:40:00,31646,
Stagnant_D,94:40:00,1280,
No Vit.Min._A,94:40:00,55348,
No Vit.Min._B,94:40:00,61007,
No Vit.Min._C,94:40:00,61066,
No Vit.Min._D,94:40:00,1780,
Control_A,119:04:00,48849,
Control_B,119:04:00,47313,
Control_C,119:04:00,49610,
Control_D,119:04:00,363,
pH 6_A,119:04:00,58692,
pH 6_B,119:04:00,56240,
pH 6_C,119:04:00,57974,
pH 6_D,119:04:00,1077,
pH 7.4_A,119:04:00,50144,
pH 7.4_B,119:04:00,48210,
pH 7.4_C,119:04:00,45909,
pH 7.4_D,119:04:00,746,
15C_A,119:04:00,45910,
15C_B,119:04:00,45651,
15C_C,119:04:00,45024,
15C_D,119:04:00,670,
30C_A,119:04:00,46178,
30C_B,119:04:00,48782,
30C_C,119:04:00,45760,
30C_D,119:04:00,737,
High Iron_A,119:04:00,51712,
High Iron_B,119:04:00,47086,
High Iron_C,119:04:00,50844,
High Iron_D,119:04:00,805,
Stagnant_A,119:04:00,22834,
Stagnant_B,119:04:00,21602,
Stagnant_C,119:04:00,24463,
Stagnant_D,119:04:00,575,
No Vit.Min._A,119:04:00,47294,
No Vit.Min._B,119:04:00,47130,
No Vit.Min._C,119:04:00,46455,
No Vit.Min._D,119:04:00,700,
Control_A,141:10:00,37983,
Control_B,141:10:00,38441,
Control_C,141:10:00,42063,
Control_D,141:10:00,358,
pH 6_A,141:10:00,53229,
pH 6_B,141:10:00,50112,
pH 6_C,141:10:00,50072,
pH 6_D,141:10:00,718,
pH 7.4_A,141:10:00,43448,
pH 7.4_B,141:10:00,39731,
pH 7.4_C,141:10:00,39666,
pH 7.4_D,141:10:00,880,
15C_A,141:10:00,45569,
15C_B,141:10:00,42700,
15C_C,141:10:00,37388,
15C_D,141:10:00,648,
30C_A,141:10:00,47096,
30C_B,141:10:00,37179,
30C_C,141:10:00,40969,
30C_D,141:10:00,816,
High Iron_A,141:10:00,45551,
High Iron_B,141:10:00,42178,
High Iron_C,141:10:00,45778,
High Iron_D,141:10:00,776,
Stagnant_A,141:10:00,23932,
Stagnant_B,141:10:00,27190,
Stagnant_C,141:10:00,23968,
Stagnant_D,141:10:00,745,
No Vit.Min._A,141:10:00,41725,
No Vit.Min._B,141:10:00,38816,
No Vit.Min._C,141:10:00,44351,
No Vit.Min._D,141:10:00,678,
Control_A,163:10:00,26891,
Control_B,163:10:00,35447,
Control_C,163:10:00,35734,
Control_D,163:10:00,557,
pH 6_A,163:10:00,42140,
pH 6_B,163:10:00,35948,
pH 6_C,163:10:00,46065,
pH 6_D,163:10:00,900,
pH 7.4_A,163:10:00,35388,
pH 7.4_B,163:10:00,33802,
pH 7.4_C,163:10:00,33576,
pH 7.4_D,163:10:00,831,
15C_A,163:10:00,36339,
15C_B,163:10:00,26443,
15C_C,163:10:00,37384,
15C_D,163:10:00,700,
30C_A,163:10:00,39742,
30C_B,163:10:00,33778,
30C_C,163:10:00,40864,
30C_D,163:10:00,903,
High Iron_A,163:10:00,37113,
High Iron_B,163:10:00,35267,
High Iron_C,163:10:00,35637,
High Iron_D,163:10:00,808,
Stagnant_A,163:10:00,33250,
Stagnant_B,163:10:00,27092,
Stagnant_C,163:10:00,29601,
Stagnant_D,163:10:00,81988,
No Vit.Min._A,163:10:00,7501,
No Vit.Min._B,163:10:00,34315,
No Vit.Min._C,163:10:00,44932,skip
No Vit.Min._D,163:10:00,909,
