name ,Hrs of samples ,CO2_ppm,skip
Control_A,21:15:00,1119,
Control_B,21:15:00,1259,
Control_C,21:15:00,1597,
Control_D,21:15:00,331,
pH 6_A,21:15:00,2799,
pH 6_B,21:15:00,2314,
pH 6_C,21:15:00,2782,
pH 6_D,21:15:00,542,
pH 7.4_A,21:15:00,652,
pH 7.4_B,21:15:00,794,
pH 7.4_C,21:15:00,601,
pH 7.4_D,21:15:00,359,
15C_A,21:15:00,720,
15C_B,21:15:00,718,
15C_C,21:15:00,728,
15C_D,21:15:00,347,
30C_A,21:15:00,801,
30C_B,21:15:00,787,
30C_C,21:15:00,996,
30C_D,21:15:00,380,
High Iron_A,21:15:00,895,
High Iron_B,21:15:00,921,
High Iron_C,21:15:00,761,
High Iron_D,21:15:00,392,
Stagnant_A,21:15:00,979,
Stagnant_B,21:15:00,847,
Stagnant_C,21:15:00,886,
Stagnant_D,21:15:00,295,
No Vit.Min._A,21:15:00,1403,
No Vit.Min._B,21:15:00,1031,
No Vit.Min._C,21:15:00,1020,
No Vit.Min._D,21:15:00,560,
Control_A,46:33:00,1206,
Control_B,46:33:00,1115,
Control_C,46:33:00,1567,
Control_D,46:33:00,331,
pH 6_A,46:33:00,2841,
pH 6_B,46:33:00,3107,
pH 6_C,46:33:00,2638,
pH 6_D,46:33:00,477,
pH 7.4_A,46:33:00,714,
pH 7.4_B,46:33:00,735,
pH 7.4_C,46:33:00,594,
pH 7.4_D,46:33:00,397,
15C_A,46:33:00,930,
15C_B,46:33:00,817,
15C_C,46:33:00,850,
15C_D,46:33:00,284,
30C_A,46:33:00,938,
30C_B,46:33:00,940,
30C_C,46:33:00,1022,
30C_D,46:33:00,331,
High Iron_A,46:33:00,1033,
High Iron_B,46:33:00,954,
High Iron_C,46:33:00,731,
High Iron_D,46:33:00,329,
Stagnant_A,46:33:00,1161,
Stagnant_B,46:33:00,1145,
Stagnant_C,46:33:00,973,
Stagnant_D,46:33:00,268,
No Vit.Min._A,46:33:00,1912,
No Vit.Min._B,46:33:00,1085,
No Vit.Min._C,46:33:00,1067,
No Vit.Min._D,46:33:00,492,
Control_A,68:03:00,1478,
Control_B,68:03:00,1291,
Control_C,68:03:00,1568,
Control_D,68:03:00,338,
pH 6_A,68:03:00,2963,
pH 6_B,68:03:00,2331,
pH 6_C,68:03:00,2591,
pH 6_D,68:03:00,478,
pH 7.4_A,68:03:00,697,
pH 7.4_B,68:03:00,736,
pH 7.4_C,68:03:00,572,
pH 7.4_D,68:03:00,388,
15C_A,68:03:00,979,
15C_B,68:03:00,907,
15C_C,68:03:00,936,
15C_D,68:03:00,279,
30C_A,68:03:00,982,
30C_B,68:03:00,1082,
30C_C,68:03:00,1136,
30C_D,68:03:00,331,
High Iron_A,68:03:00,908,
High Iron_B,68:03:00,862,
High Iron_C,68:03:00,728,
High Iron_D,68:03:00,292,
Stagnant_A,68:03:00,1215,
Stagnant_B,68:03:00,1104,
Stagnant_C,68:03:00,917,
Stagnant_D,68:03:00,280,
No Vit.Min._A,68:03:00,1832,
No Vit.Min._B,68:03:00,1055,
No Vit.Min._C,68:03:00,907,
No Vit.Min._D,68:03:00,506,
Control_A,94:27:00,1343,
Control_B,94:27:00,1212,
Control_C,94:27:00,1524,
Control_D,94:27:00,339,
pH 6_A,94:27:00,1996,
pH 6_B,94:27:00,1708,
pH 6_C,94:27:00,1707,
pH 6_D,94:27:00,492,
pH 7.4_A,94:27:00,632,
pH 7.4_B,94:27:00,687,
pH 7.4_C,94:27:00,603,
pH 7.4_D,94:27:00,397,
15C_A,94:27:00,917,
15C_B,94:27:00,816,
15C_C,94:27:00,859,
15C_D,94:27:00,292,
30C_A,94:27:00,857,
30C_B,94:27:00,850,
30C_C,94:27:00,951,
30C_D,94:27:00,385,
High Iron_A,94:27:00,868,
High Iron_B,94:27:00,904,
High Iron_C,94:27:00,688,
High Iron_D,94:27:00,279,
Stagnant_A,94:27:00,1086,
Stagnant_B,94:27:00,1006,
Stagnant_C,94:27:00,952,
Stagnant_D,94:27:00,302,
No Vit.Min._A,94:27:00,1938,
No Vit.Min._B,94:27:00,1091,
No Vit.Min._C,94:27:00,937,
No Vit.Min._D,94:27:00,496,
Control_A,115:10:00,1255,
Control_B,115:10:00,1180,
Control_C,115:10:00,1285,
