Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,skip
1,Specimen1,1,A1,Control_A,7/11/23 15:04,836,
1,Specimen1,1,A2,pH 6_A,7/11/23 15:06,846,
1,Specimen1,1,A3,pH 7.4_A,7/11/23 15:07,620,
1,Specimen1,1,A4,15C_A,7/11/23 15:09,827,
1,Specimen1,1,A5,30C_A,7/11/23 15:11,734,
1,Specimen1,1,A6,High Iron_A,7/11/23 15:12,746,
1,Specimen1,1,A7,Stagnant_A,7/11/23 15:14,757,
1,Specimen1,1,A8,No Vit.Min._A,7/11/23 15:15,780,
1,Specimen1,1,B1,Control_B,7/11/23 15:17,769,
1,Specimen1,1,B2,pH 6_B,7/11/23 15:18,741,
1,Specimen1,1,B3,pH 7.4_B,7/11/23 15:20,532,
1,Specimen1,1,B4,15C_B,7/11/23 15:21,716,
1,Specimen1,1,B5,30C_B,7/11/23 15:23,645,
1,Specimen1,1,B6,High Iron_B,7/11/23 15:25,659,
1,Specimen1,1,B7,Stagnant_B,7/11/23 15:26,621,
1,Specimen1,1,B8,No Vit.Min._B,7/11/23 15:27,607,
1,Specimen1,1,C1,Control_C,7/11/23 15:29,692,
1,Specimen1,1,C2,pH 6_C,7/11/23 15:31,845,
1,Specimen1,1,C3,pH 7.4_C,7/11/23 15:32,592,
1,Specimen1,1,C4,15C_C,7/11/23 15:34,847,
1,Specimen1,1,C5,30C_C,7/11/23 15:35,752,
1,Specimen1,1,C6,High Iron_C,7/11/23 15:37,796,
1,Specimen1,1,C7,Stagnant_C,7/11/23 15:38,642,
1,Specimen1,1,C8,No Vit.Min._C,7/11/23 15:40,642,
1,Specimen1,1,D1,Control_D,7/11/23 15:41,21.5,
1,Specimen1,1,D2,pH 6_D,7/11/23 15:43,22,
1,Specimen1,1,D3,pH 7.4_D,7/11/23 15:44,23.7,
1,Specimen1,1,D4,15C_D,7/11/23 15:46,20.4,
1,Specimen1,1,D5,30C_D,7/11/23 15:47,20.9,
1,Specimen1,1,D6,High Iron_D,7/11/23 15:49,51.7,
1,Specimen1,1,D7,Stagnant_D,7/11/23 15:50,22.6,
1,Specimen1,1,D8,No Vit.Min._D,7/11/23 15:52,24.2,
2,Specimen2,2,A1,Control_A,7/12/23 18:28,433,
2,Specimen2,2,A2,pH 6_A,7/12/23 18:31,629,
2,Specimen2,2,A3,pH 7.4_A,7/12/23 18:33,376,
2,Specimen2,2,A4,15C_A,7/12/23 18:35,538,
2,Specimen2,2,A5,30C_A,7/12/23 18:38,644,
2,Specimen2,2,A6,High Iron_A,7/12/23 18:40,53.9,
2,Specimen2,2,A7,Stagnant_A,7/12/23 18:43,1060,
2,Specimen2,2,A8,No Vit.Min._A,7/12/23 18:45,371,
2,Specimen2,2,B1,Control_B,7/12/23 18:48,498,
2,Specimen2,2,B2,pH 6_B,7/12/23 18:50,564,
2,Specimen2,2,B3,pH 7.4_B,7/12/23 18:52,309,
2,Specimen2,2,B4,15C_B,7/12/23 18:54,398,
2,Specimen2,2,B5,30C_B,7/12/23 18:57,594,
2,Specimen2,2,B6,High Iron_B,7/12/23 18:59,37,
2,Specimen2,2,B7,Stagnant_B,7/12/23 19:02,935,
2,Specimen2,2,B8,No Vit.Min._B,7/12/23 19:04,341,
2,Specimen2,2,C1,Control_C,7/12/23 19:07,572,
2,Specimen2,2,C2,pH 6_C,7/12/23 19:09,552,
2,Specimen2,2,C3,pH 7.4_C,7/12/23 19:12,303,
2,Specimen2,2,C4,15C_C,7/12/23 19:14,332,
2,Specimen2,2,C5,30C_C,7/12/23 19:16,649,
2,Specimen2,2,C6,High Iron_C,7/12/23 19:19,28.4,
2,Specimen2,2,C7,Stagnant_C,7/12/23 19:21,855,
2,Specimen2,2,C8,No Vit.Min._C,7/12/23 19:23,332,
2,Specimen2,2,D1,Control_D,7/12/23 19:26,51,
2,Specimen2,2,D2,pH 6_D,7/12/23 19:28,39.6,
2,Specimen2,2,D3,pH 7.4_D,7/12/23 19:31,38.3,
2,Specimen2,2,D4,15C_D,7/12/23 19:33,40,
2,Specimen2,2,D5,30C_D,7/12/23 19:36,31.9,
2,Specimen2,2,D6,High Iron_D,7/12/23 19:38,20.2,
2,Specimen2,2,D7,Stagnant_D,7/12/23 19:40,36.5,
2,Specimen2,2,D8,No Vit.Min._D,7/12/23 19:43,28.4,
3,Specimen3,3,A1,Control_A,7/13/23 21:14,477,
3,Specimen3,3,A2,pH 6_A,7/13/23 21:16,684,
3,Specimen3,3,A3,pH 7.4_A,7/13/23 21:19,397,
3,Specimen3,3,A4,15C_A,7/13/23 21:21,552,
3,Specimen3,3,A5,30C_A,7/13/23 21:23,570,
3,Specimen3,3,A6,High Iron_A,7/13/23 21:25,427,
3,Specimen3,3,A7,Stagnant_A,7/13/23 21:28,983,
3,Specimen3,3,A8,No Vit.Min._A,7/13/23 21:30,599,
3,Specimen3,3,B1,Control_B,7/13/23 21:33,559,
3,Specimen3,3,B2,pH 6_B,7/13/23 21:35,114,
3,Specimen3,3,B3,pH 7.4_B,7/13/23 21:38,416,
3,Specimen3,3,B4,15C_B,7/13/23 21:40,445,
3,Specimen3,3,B5,30C_B,7/13/23 21:42,570,
3,Specimen3,3,B6,High Iron_B,7/13/23 21:45,520,
3,Specimen3,3,B7,Stagnant_B,7/13/23 21:47,1028,
3,Specimen3,3,B8,No Vit.Min._B,7/13/23 21:50,483,
3,Specimen3,3,C1,Control_C,7/13/23 21:52,565,
3,Specimen3,3,C2,pH 6_C,7/13/23 21:55,1223,
3,Specimen3,3,C3,pH 7.4_C,7/13/23 21:57,343,
3,Specimen3,3,C4,15C_C,7/13/23 21:59,450,
3,Specimen3,3,C5,30C_C,7/13/23 22:01,531,
3,Specimen3,3,C6,High Iron_C,7/13/23 22:04,669,
3,Specimen3,3,C7,Stagnant_C,7/13/23 22:06,974,
3,Specimen3,3,C8,No Vit.Min._C,7/13/23 22:08,526,
3,Specimen3,3,D1,Control_D,7/13/23 22:11,106,
3,Specimen3,3,D2,pH 6_D,7/13/23 22:13,109,
3,Specimen3,3,D3,pH 7.4_D,7/13/23 22:15,106,
3,Specimen3,3,D4,15C_D,7/13/23 22:18,90.6,
3,Specimen3,3,D5,30C_D,7/13/23 22:20,87.8,
3,Specimen3,3,D6,High Iron_D,7/13/23 22:22,165,
3,Specimen3,3,D7,Stagnant_D,7/13/23 22:25,95.9,
3,Specimen3,3,D8,No Vit.Min._D,7/13/23 22:27,105,
4,Specimen4,4,A1,Control_A,7/14/23 17:57,1015,
4,Specimen4,4,A2,pH 6_A,7/14/23 18:00,1005,
4,Specimen4,4,A3,pH 7.4_A,7/14/23 18:02,688,
4,Specimen4,4,A4,15C_A,7/14/23 18:04,655,
4,Specimen4,4,A5,30C_A,7/14/23 18:07,783,
4,Specimen4,4,A6,High Iron_A,7/14/23 18:09,1065,
